"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ADAM9",1.30687100333667e-109,0.484051318447066,0.565,0.322,2.81186365077918e-105
"PSME2",2.08875943089383e-88,0.483413396709092,0.701,0.507,4.49417479151117e-84
"TERF1",1.43214937711829e-72,0.481539516868955,0.767,0.597,3.08141259980772e-68
"LINC01133",5.31405810825665e-245,0.481144907812517,0.32,0.062,1.1433727425725e-240
"PRSS35",3.24267960971151e-75,0.481097212764568,0.681,0.482,6.97694944825529e-71
"PHLDA2",1.18642065153285e-41,0.47932582236411,0.344,0.204,2.55270267383807e-37
"PPIC",5.10190730770581e-272,0.479273195863216,0.345,0.066,1.09772637632598e-267
"FAM177A1",6.27723883120073e-94,0.478205711932757,0.76,0.558,1.35061070692115e-89
"CSTB",9.29254732066364e-115,0.475998395032029,0.949,0.882,1.99938448151399e-110
"CCL2",1.0664938572399e-126,0.474995283163963,0.219,0.054,2.29466818323736e-122
"DDAH1",2.87936458246132e-154,0.474397840902619,0.474,0.193,6.19524083562377e-150
"ITGB1",5.53892849170514e-124,0.474060365148472,0.975,0.945,1.19175585427528e-119
"EHD2",6.37594653146766e-248,0.469551249117391,0.381,0.088,1.37184865571058e-243
"EVA1A",2.63795416675851e-230,0.467532079509897,0.362,0.086,5.67582218519761e-226
"ACTB",1.22921258144764e-191,0.467179425373695,1,1,2.64477379024275e-187
"ECM1",5.70984447563738e-169,0.466918518726774,0.516,0.208,1.22853013737814e-164
"ZYX",8.34791269098537e-99,0.463978220804326,0.684,0.437,1.79613689459241e-94
"TUBA1A",2.27256114957061e-78,0.461023815601083,0.924,0.851,4.88964256941613e-74
"COTL1",1.35463809868989e-88,0.460980539818588,0.534,0.306,2.91463933314116e-84
"LPP",6.64075533757659e-100,0.460705692478147,0.657,0.407,1.42882491843298e-95
"EMP1",4.5728231717713e-182,0.460651966588429,0.382,0.115,9.83888633638313e-178
"CALCB",7.70572672647632e-60,0.460279393410911,0.62,0.424,1.65796416246864e-55
"FMOD",2.25076215509846e-158,0.459749498905965,0.403,0.141,4.84273985290985e-154
"RRAS",9.30902919856149e-91,0.456393550657747,0.626,0.404,2.00293072236249e-86
"SLC25A3",3.65046166408854e-136,0.453944076577834,0.999,0.998,7.85433331645289e-132
"CAV2",3.84724072735191e-81,0.45298423845113,0.822,0.662,8.27772314897037e-77
"TGFB2",2.39738137922565e-154,0.451908428233993,0.323,0.096,5.15820577554192e-150
"RHOC",3.68978473952602e-89,0.451421353603966,0.7,0.488,7.93894084556418e-85
"TMED10",6.88128098213944e-94,0.451047311399987,0.87,0.733,1.48057641611712e-89
"PLEC",2.81342805650438e-90,0.447247246855518,0.687,0.465,6.05337180637483e-86
"TGFB1I1",2.05924137097103e-245,0.444659840531266,0.293,0.051,4.43066373378127e-241
"PTPN14",1.57657890320108e-108,0.444194011968273,0.832,0.578,3.39216716812743e-104
"GPNMB",3.54911383268304e-137,0.443406089368808,0.321,0.104,7.63627332240083e-133
"IFI27L2",9.06776589690126e-69,0.443099537567282,0.547,0.367,1.95102051037727e-64
"PPP1R12A",3.31352953114766e-67,0.443085162007679,0.803,0.708,7.1293901392173e-63
"ITGA5",1.21347167099373e-94,0.442404803877236,0.535,0.305,2.61090564731012e-90
"MYL12B",9.41567521636173e-142,0.44148013674052,0.996,0.973,2.02587667955239e-137
"NID1",5.20555573725975e-181,0.438297582796137,0.318,0.082,1.12002737242881e-176
"HSPA2",6.94669203447252e-174,0.435290570369571,0.335,0.094,1.49465025813711e-169
"ANXA6",1.26865798405392e-75,0.433879881333854,0.638,0.447,2.7296445184904e-71
"MIR4435-2HG",8.12124717543501e-91,0.433467538651787,0.581,0.349,1.7473675422666e-86
"PLSCR4",4.68390222097862e-177,0.433108904747966,0.301,0.076,1.00778840186576e-172
"ATP8B1",3.52384382347848e-179,0.433088299606475,0.341,0.095,7.5819023705963e-175
"MYBL1",2.18327710143785e-89,0.431360714655057,0.415,0.205,4.69753901145367e-85
"CTSZ",1.76633102447224e-259,0.428869164145396,0.273,0.04,3.80043783225446e-255
"ENAH",3.43326740752283e-78,0.428698330791699,0.935,0.86,7.38701815402612e-74
"LNPEP",1.75441880444806e-90,0.428060051842397,0.454,0.239,3.77480749965044e-86
"RGS4",1.95008718496138e-161,0.427805196170385,0.282,0.072,4.19580758716291e-157
"LAMP1",3.49763431226939e-83,0.424858166980515,0.635,0.421,7.52550998627882e-79
"SERPINE1",8.62475458037632e-130,0.424373859524467,0.173,0.033,1.85570219551377e-125
"RBP4",3.7591636849833e-210,0.424210713468358,0.235,0.037,8.08821658461006e-206
"CAMK2D",2.06922022760576e-142,0.423737710952651,0.452,0.184,4.45213424171655e-138
